Day of Report Date,Cases,Day number
9/3/2020,44,173
9/2/2020,54,172
9/1/2020,33,171
8/31/2020,35,170
8/30/2020,13,169
8/29/2020,38,168
8/28/2020,56,167
8/27/2020,45,166
8/26/2020,47,165
8/25/2020,35,164
8/24/2020,28,163
8/23/2020,39,162
8/22/2020,23,161
8/21/2020,41,160
8/20/2020,44,159
8/19/2020,42,158
8/18/2020,18,157
8/17/2020,24,156
8/16/2020,18,155
8/15/2020,47,154
8/14/2020,45,153
8/13/2020,55,152
8/12/2020,62,151
8/11/2020,49,150
8/10/2020,36,149
8/9/2020,55,148
8/8/2020,117,147
8/7/2020,53,146
8/6/2020,170,145
8/5/2020,60,144
8/4/2020,73,143
8/3/2020,56,142
8/2/2020,47,141
8/1/2020,80,140
7/31/2020,139,139
7/30/2020,102,138
7/29/2020,66,137
7/28/2020,83,136
7/27/2020,88,135
7/26/2020,84,134
7/25/2020,65,133
7/24/2020,119,132
7/23/2020,112,131
7/22/2020,69,130
7/21/2020,84,129
7/20/2020,89,128
7/19/2020,59,127
7/18/2020,80,126
7/17/2020,133,125
7/16/2020,93,124
7/15/2020,97,123
7/14/2020,73,122
7/13/2020,52,121
7/12/2020,95,120
7/11/2020,91,119
7/10/2020,44,118
7/9/2020,51,117
7/8/2020,56,116
7/7/2020,50,115
7/6/2020,67,114
7/5/2020,96,113
7/4/2020,25,112
7/3/2020,58,111
7/2/2020,69,110
7/1/2020,36,109
6/30/2020,78,108
6/29/2020,78,107
6/28/2020,24,106
6/27/2020,31,105
6/26/2020,45,104
6/25/2020,41,103
6/24/2020,30,102
6/23/2020,53,101
6/22/2020,22,100
6/21/2020,14,99
6/20/2020,26,98
6/19/2020,43,97
6/18/2020,17,96
6/17/2020,17,95
6/16/2020,18,94
6/15/2020,9,93
6/14/2020,16,92
6/13/2020,15,91
6/12/2020,10,90
6/11/2020,5,89
6/10/2020,13,88
6/9/2020,11,87
6/8/2020,24,86
6/7/2020,10,85
6/6/2020,23,84
6/5/2020,55,83
6/4/2020,21,82
6/3/2020,15,81
6/2/2020,13,80
6/1/2020,6,79
5/31/2020,8,78
5/30/2020,17,77
5/29/2020,30,76
5/28/2020,14,75
5/27/2020,23,74
5/26/2020,6,73
5/25/2020,10,72
5/24/2020,18,71
5/23/2020,19,70
5/22/2020,18,69
5/21/2020,13,68
5/20/2020,6,67
5/19/2020,5,66
5/18/2020,5,65
5/17/2020,5,64
5/16/2020,2,63
5/15/2020,2,62
5/14/2020,4,61
5/13/2020,4,60
5/10/2020,2,57
5/9/2020,2,56
5/7/2020,2,54
5/6/2020,5,53
5/5/2020,1,52
5/4/2020,1,51
5/3/2020,4,50
5/2/2020,2,49
5/1/2020,5,48
4/30/2020,7,47
4/29/2020,4,46
4/28/2020,2,45
4/27/2020,2,44
4/26/2020,1,43
4/25/2020,8,42
4/24/2020,16,41
4/23/2020,5,40
4/22/2020,2,39
4/21/2020,2,38
4/20/2020,6,37
4/19/2020,5,36
4/18/2020,5,35
4/17/2020,4,34
4/16/2020,7,33
4/15/2020,8,32
4/14/2020,3,31
4/13/2020,1,30
4/12/2020,12,29
4/11/2020,11,28
4/10/2020,5,27
4/9/2020,7,26
4/8/2020,12,25
4/7/2020,5,24
4/6/2020,3,23
4/5/2020,10,22
4/4/2020,15,21
4/3/2020,12,20
4/2/2020,17,19
4/1/2020,20,18
3/31/2020,12,17
3/30/2020,18,16
3/29/2020,7,15
3/28/2020,21,14
3/27/2020,20,13
3/26/2020,13,12
3/25/2020,21,11
3/24/2020,4,10
3/23/2020,9,9
3/22/2020,8,8
3/21/2020,3,7
3/19/2020,4,5
3/18/2020,1,4
3/17/2020,1,3
3/14/2020,3,1
